RULES TARGETING PHISHING
                                                                                                                                                                                       antecedents        consequents  antecedent support  consequent support   support  confidence      lift  representativity  leverage  conviction  zhangs_metric   jaccard  certainty  kulczynski    cosine  all_confidence  max_confidence  chi_square_score
4942                                                                 (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.153505            0.443057  0.151334    0.985857  2.225123               1.0  0.083323   39.380480       0.650431  0.339902   0.974607    0.663713  0.580291        0.341568        0.985857       2393.683432
4914                                                           (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.198191            0.443057  0.195387    0.985851  2.225109               1.0  0.107577   39.363263       0.686677  0.438223   0.974596    0.713424  0.659361        0.440996        0.985851       3262.651176
16529                                      (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.167526            0.443057  0.165084    0.985421  2.224139               1.0  0.090860   38.202134       0.661147  0.370558   0.973823    0.679011  0.605945        0.372601        0.985421       2652.046521
4906                                                                                               (Page_Rank_PageRank_Low, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.200000            0.443057  0.197015    0.985075  2.223356               1.0  0.108403   37.315152       0.687787  0.441695   0.973201    0.714873  0.661842        0.444671        0.985075       3290.443442
16515                                                                          (Page_Rank_PageRank_Low, SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Google_Index_Indexed by Google)  (Result_Phishing)            0.168431            0.443057  0.165807    0.984425  2.221891               1.0  0.091183   35.759553       0.661319  0.372032   0.972035    0.679330  0.606964        0.374234        0.984425       2659.473940
16557                                  (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Page_Rank_PageRank_Low, Google_Index_Indexed by Google)  (Result_Phishing)            0.158752            0.443057  0.156219    0.984046  2.221034               1.0  0.085883   34.908364       0.653504  0.350589   0.971354    0.668319  0.589039        0.352593        0.984046       2474.332007
675                                                                                                          (Domain_registeration_length_Domain_ShortTerm, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.164541            0.443057  0.161284    0.980209  2.212374               1.0  0.088383   28.141070       0.655923  0.361370   0.964465    0.672118  0.597346        0.364026        0.980209       2545.837101
4689                                                                                                  (Request_URL_ReqURL_HighExtContent, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.163184            0.443057  0.152239    0.932927  2.105657               1.0  0.079939    8.303507       0.627484  0.335326   0.879569    0.638268  0.566183        0.343610        0.932927       2096.509152
16232                                                                          (age_of_domain_Domain_Age_Less_6Month, SFH_Empty_or_Blank, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.165626            0.443057  0.153143    0.924631  2.086933               1.0  0.079761    7.389578       0.624214  0.336180   0.864674    0.635141  0.565332        0.345651        0.924631       2062.449173
643                                                                                                                                   (Request_URL_ReqURL_HighExtContent, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.165626            0.443057  0.152239    0.919170  2.074607               1.0  0.078857    6.890283       0.620802  0.333532   0.854868    0.631390  0.561993        0.343610        0.919170       2015.934251
4712                                                                                               (age_of_domain_Domain_Age_Less_6Month, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.196291            0.443057  0.178652    0.910138  2.054222               1.0  0.091684    6.197771       0.638537  0.387787   0.838652    0.656682  0.605798        0.403226        0.910138       2387.122217
4757                                                                                                           (age_of_domain_Domain_Age_Less_6Month, SFH_Empty_or_Blank, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.168611            0.443057  0.153143    0.908262  2.049987               1.0  0.078439    6.071000       0.616068  0.333991   0.835282    0.626957  0.560305        0.345651        0.908262       1966.341772
4694                                                                                                                 (SFH_Empty_or_Blank, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.264948            0.443057  0.237811    0.897576  2.025868               1.0  0.120424    5.437616       0.688910  0.505771   0.816096    0.717163  0.694099        0.536750        0.897576       3336.061406
653                                                                                                                                (age_of_domain_Domain_Age_Less_6Month, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.199638            0.443057  0.178652    0.894880  2.019783               1.0  0.090201    5.298156       0.630836  0.384990   0.811255    0.649053  0.600698        0.403226        0.894880       2281.293744
16245                                                                                        (Page_Rank_PageRank_Low, SFH_Empty_or_Blank, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.204342            0.443057  0.182180    0.891545  2.012256               1.0  0.091645    5.135238       0.632238  0.391600   0.805267    0.651367  0.605469        0.411188        0.891545       2314.301760
16277                                                                                      (SSLfinal_State_No_HTTPS, SFH_Empty_or_Blank, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.174310            0.443057  0.154410    0.885833  1.999364               1.0  0.077180    4.878311       0.605362  0.333529   0.795011    0.617171  0.555627        0.348510        0.885833       1854.220920
16216                                                                                (SFH_Empty_or_Blank, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.215197            0.443057  0.190231    0.883985  1.995192               1.0  0.094886    4.800603       0.635567  0.406455   0.791693    0.656672  0.616074        0.429359        0.883985       2388.347048
16260                                                    (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.219720            0.443057  0.194211    0.883903  1.995007               1.0  0.096862    4.797211       0.639192  0.414479   0.791546    0.661123  0.622456        0.438342        0.883903       2451.765871
637                                                                                                                                      (Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.312528            0.443057  0.275984    0.883068  1.993123               1.0  0.137516    4.762962       0.724793  0.575443   0.790047    0.752988  0.741667        0.622907        0.883068       3943.201756
4719                                                                                                             (Page_Rank_PageRank_Low, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.240072            0.443057  0.210583    0.877167  1.979803               1.0  0.104218    4.534127       0.651245  0.445636   0.779450    0.676231  0.645689        0.475296        0.877167       2667.202696
645                                                                                                                                                  (SFH_Empty_or_Blank, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.272818            0.443057  0.237811    0.871684  1.967430               1.0  0.116937    4.340410       0.676203  0.497446   0.769607    0.704217  0.684015        0.536750        0.871684       3087.994240
4733                                                                         (Statistical_report_Dont Belong to Top Phishing IPs/Domains, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.259882            0.443057  0.226142    0.870171  1.964013               1.0  0.110999    4.289802       0.663190  0.474293   0.766889    0.690291  0.666443        0.510412        0.870171       2869.790991
4742                                                                                                           (SSLfinal_State_No_HTTPS, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.206694            0.443057  0.179466    0.868271  1.959726               1.0  0.087889    4.227953       0.617321  0.381612   0.763479    0.636667  0.593047        0.405063        0.868271       2110.521653
30193                    (Prefix_Suffix_Has_PrefixSuffix, Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.178471            0.443057  0.154862    0.867714  1.958469               1.0  0.075789    4.210144       0.595715  0.331847   0.762478    0.608622  0.550720        0.349530        0.867714       1755.132291
4703                                                                                                     (Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.256083            0.443057  0.222162    0.867538  1.958071               1.0  0.108702    4.204545       0.657726  0.465769   0.762162    0.684484  0.659552        0.501429        0.867538       2778.821360
4763                                                                                                                         (Page_Rank_PageRank_Low, SFH_Empty_or_Blank, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.210674            0.443057  0.182180    0.864749  1.951776               1.0  0.088839    4.117839       0.617801  0.386342   0.757154    0.637969  0.596301        0.411188        0.864749       2126.336681
4726                                                                                                            (having_IP_Address_no_IP, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.194211            0.443057  0.167888    0.864462  1.951129               1.0  0.081841    4.109126       0.604967  0.357680   0.756639    0.621696  0.572338        0.378930        0.864462       1917.514630
16324                                                (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SSLfinal_State_No_HTTPS, Prefix_Suffix_Has_PrefixSuffix, Page_Rank_PageRank_Low)  (Result_Phishing)            0.198372            0.443057  0.171416    0.864113  1.950341               1.0  0.083526    4.098574       0.607849  0.364704   0.756013    0.625503  0.578203        0.386893        0.864113       1965.505143
4779                                                                                                                       (SFH_Empty_or_Blank, SSLfinal_State_No_HTTPS, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.179376            0.443057  0.154410    0.860817  1.942901               1.0  0.074936    4.001511       0.591386  0.329919   0.750094    0.604663  0.547725        0.348510        0.860817       1709.073169
4751                                                                                                                 (SFH_Empty_or_Blank, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.221529            0.443057  0.190231    0.858718  1.938164               1.0  0.092081    3.942059       0.621793  0.401030   0.746325    0.644038  0.607205        0.429359        0.858718       2202.688377
24                                                                                                                                                                       (SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.321755            0.443057  0.275984    0.857745  1.935969               1.0  0.133428    3.915108       0.712814  0.564582   0.744579    0.740326  0.730955        0.622907        0.857745       3654.848331
16287                                                                            (Page_Rank_PageRank_Low, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.189688            0.443057  0.162551    0.856938  1.934148               1.0  0.078508    3.893028       0.596037  0.345710   0.743131    0.611911  0.560712        0.366884        0.856938       1796.498046
16338                                              (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SSLfinal_State_No_HTTPS, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.179738            0.443057  0.153686    0.855058  1.929903               1.0  0.074052    3.842517       0.587421  0.327613   0.739754    0.600967  0.544609        0.346876        0.855058       1666.364532
4770                                                                                     (Statistical_report_Dont Belong to Top Phishing IPs/Domains, SFH_Empty_or_Blank, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.227589            0.443057  0.194211    0.853339  1.926023               1.0  0.093376    3.797473       0.622461  0.407632   0.736667    0.645840  0.611600        0.438342        0.853339       2222.056758
16314                                                                          (SSLfinal_State_No_HTTPS, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record, Google_Index_Indexed by Google)  (Result_Phishing)            0.176843            0.443057  0.150791    0.852685  1.924548               1.0  0.072440    3.780634       0.583604  0.321442   0.735494    0.596514  0.538707        0.340343        0.852685       1615.001415
16299                                        (Statistical_report_Dont Belong to Top Phishing IPs/Domains, Prefix_Suffix_Has_PrefixSuffix, SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.212483            0.443057  0.181095    0.852278  1.923628               1.0  0.086952    3.770196       0.609700  0.381697   0.734762    0.630508  0.590219        0.408738        0.852278       2024.261555
655                                                                                                                                              (Page_Rank_PageRank_Low, SSLfinal_State_No_HTTPS)  (Result_Phishing)            0.247671            0.443057  0.210583    0.850256  1.919064               1.0  0.100851    3.719290       0.636573  0.438583   0.731131    0.662776  0.635707        0.475296        0.850256       2445.495074
650                                                                                                                                      (SSLfinal_State_No_HTTPS, Google_Index_Indexed by Google)  (Result_Phishing)            0.263229            0.443057  0.222162    0.843986  1.904914               1.0  0.105536    3.569830       0.644762  0.458894   0.719875    0.672708  0.650538        0.501429        0.843986       2572.910892
