FULL DATASET MINING RESULTS (30 Features)
Execution Time: 890.3070 seconds
Total Rules Found: 374859
Phishing Specific Rules: 954
--------------------------------------------------
                                                                                                                                                    antecedents        consequents  antecedent support  consequent support   support  confidence      lift  representativity  leverage  conviction  zhangs_metric   jaccard  certainty  kulczynski    cosine  all_confidence  max_confidence  chi_square_score
135194                             (Shortining_Service_No_Shortining, URL_of_Anchor_greater_than_%67_Anchor, Links_pointing_to_page_have 1 or 2 links pointing)  (Result_Phishing)            0.156762            0.443057  0.156762    1.000000  2.257044               1.0  0.087307         inf       0.660481  0.353818   1.000000    0.676909  0.594826        0.353818        1.000000       2583.441212
135425                                                                               (Request_URL_ReqURL_HighExtContent, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.165536            0.443057  0.165536    1.000000  2.257044               1.0  0.092194         inf       0.667425  0.373622   1.000000    0.686811  0.611246        0.373622        1.000000       2756.727472
135428                                               (Request_URL_ReqURL_HighExtContent, Prefix_Suffix_Has_PrefixSuffix, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.165536            0.443057  0.165536    1.000000  2.257044               1.0  0.092194         inf       0.667425  0.373622   1.000000    0.686811  0.611246        0.373622        1.000000       2756.727472
134504                                            (age_of_domain_Domain_Age_Less_6Month, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.153415            0.443057  0.152962    0.997052  2.250390               1.0  0.084991  188.914916       0.656322  0.344891   0.994707    0.671147  0.586707        0.345243        0.997052       2491.698721
129162                                                                (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.261330            0.443057  0.260425    0.996539  2.249231               1.0  0.144641  160.900706       0.751897  0.586593   0.993785    0.792165  0.765347        0.587791        0.996539       4855.479768
129843                              (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar)  (Result_Phishing)            0.245590            0.443057  0.244686    0.996317  2.248730               1.0  0.135875  151.209905       0.736078  0.551141   0.993387    0.774291  0.741776        0.552266        0.996317       4464.260868
130724                                                              (port_Port_Standard, Prefix_Suffix_Has_PrefixSuffix, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.240163            0.443057  0.239258    0.996234  2.248543               1.0  0.132852  147.868250       0.730772  0.538916   0.993237    0.768125  0.733473        0.540016        0.996234       4333.116172
136521                                         (Submitting_to_email_not_using_mail_func, Prefix_Suffix_Has_PrefixSuffix, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.228584            0.443057  0.227680    0.996043  2.248112               1.0  0.126404  140.739385       0.719693  0.512836   0.992895    0.754963  0.715437        0.513883        0.996043       4059.509172
132032                                                        (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Favicon_Favicon_Internal)  (Result_Phishing)            0.226323            0.443057  0.225418    0.996003  2.248023               1.0  0.125144  139.347028       0.717566  0.507742   0.992824    0.752391  0.711861        0.508779        0.996003       4007.026363
133166                                                (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, popUpWidnow_No_Popup_Text_Fields)  (Result_Phishing)            0.223157            0.443057  0.222252    0.995946  2.247895               1.0  0.123381  137.397730       0.714609  0.500611   0.992722    0.748790  0.706824        0.501633        0.995946       3934.063840
134502                                                                            (age_of_domain_Domain_Age_Less_6Month, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.153596            0.443057  0.152962    0.995878  2.247739               1.0  0.084911  135.098352       0.655843  0.344750   0.992598    0.670560  0.586361        0.345243        0.995878       2484.602709
131298                                                    (URL_of_Anchor_greater_than_%67_Anchor, having_At_Symbol_no_@_symbol, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.235097            0.443057  0.233831    0.994613  2.244886               1.0  0.129669  103.392408       0.724985  0.526262   0.990328    0.761190  0.724516        0.527766        0.994613       4188.983383
135723                      (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.234916            0.443057  0.233650    0.994609  2.244876               1.0  0.129569  103.312845       0.724811  0.525855   0.990321    0.760984  0.724234        0.527358        0.994609       4184.707123
129121                                                                                  (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.295251            0.443057  0.293623    0.994485  2.244597               1.0  0.162810  100.992251       0.786785  0.660293   0.990098    0.828602  0.811828        0.662719        0.994485       5707.194207
129134                                                              (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, RightClick_Enabled)  (Result_Phishing)            0.278245            0.443057  0.276617    0.994148  2.243836               1.0  0.153338   95.175295       0.768037  0.622050   0.989493    0.809242  0.787834        0.624336        0.994148       5245.326192
129194                                                   (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Redirect_Redirect_between_2-4)  (Result_Phishing)            0.258526            0.443057  0.256897    0.993702  2.242829               1.0  0.142356   88.430102       0.747341  0.577705   0.988692    0.786765  0.759063        0.579829        0.993702       4736.288265
129257                                                (Shortining_Service_No_Shortining, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.254274            0.443057  0.252646    0.993597  2.242591               1.0  0.139988   86.975863       0.743017  0.568145   0.988503    0.781915  0.752716        0.570233        0.993597       4630.070207
134528                              (double_slash_redirecting_last_position_less_than_7, Prefix_Suffix_Has_PrefixSuffix, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.253731            0.443057  0.252103    0.993583  2.242560               1.0  0.139686   86.790216       0.742469  0.566924   0.988478    0.781295  0.751902        0.569008        0.993583       4616.597590
129357                                                              (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.250294            0.443057  0.248666    0.993495  2.242361               1.0  0.137771   85.614448       0.739012  0.559194   0.988320    0.777372  0.746725        0.561249        0.993495       4531.724144
135469                                                    (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Abnormal_URL_hostname_in_URL)  (Result_Phishing)            0.249842            0.443057  0.248213    0.993483  2.242334               1.0  0.137519   85.459742       0.738559  0.558177   0.988299    0.776856  0.746041        0.560229        0.993483       4520.614508
129540                                                  (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, Google_Index_Indexed by Google)  (Result_Phishing)            0.246585            0.443057  0.244957    0.993397  2.242140               1.0  0.135706   84.345857       0.735316  0.550854   0.988144    0.773138  0.741099        0.552879        0.993397       4441.019002
134678                                            (HTTPS_token_No_HTTPS_Token_In_Domain, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.244414            0.443057  0.242786    0.993338  2.242008               1.0  0.134496   83.603266       0.733168  0.545972   0.988039    0.770659  0.737786        0.547979        0.993338       4388.336613
130199                                                          (Page_Rank_PageRank_Low, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.240977            0.443057  0.239349    0.993243  2.241793               1.0  0.132582   82.427499       0.729791  0.538242   0.987868    0.766732  0.732510        0.540220        0.993243       4305.539373
137485                                                             (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, URL_Length_long_URL)  (Result_Phishing)            0.235550            0.443057  0.233921    0.993088  2.241442               1.0  0.129559   80.571024       0.724519  0.526037   0.987589    0.760529  0.724100        0.527971        0.993088       4176.323435
138324                                                        (URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.182180            0.443057  0.180914    0.993049  2.241354               1.0  0.100197   80.120165       0.677216  0.407166   0.987519    0.700689  0.636782        0.408330        0.993049       3018.858901
135224                                                         (having_IP_Address_no_IP, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.170782            0.443057  0.169516    0.992585  2.240307               1.0  0.093850   75.107682       0.667657  0.381515   0.986686    0.687595  0.616253        0.382605        0.992585       2786.388178
137582                                                                           (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, URL_Length_long_URL)  (Result_Phishing)            0.207870            0.443057  0.206242    0.992167  2.239364               1.0  0.114143   71.103000       0.698679  0.463792   0.985936    0.728832  0.679595        0.465496        0.992167       3544.876842
137938                                         (URL_of_Anchor_greater_than_%67_Anchor, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar, URL_Length_long_URL)  (Result_Phishing)            0.195477            0.443057  0.193849    0.991671  2.238244               1.0  0.107241   66.864048       0.687639  0.435924   0.985044    0.714598  0.658697        0.437526        0.991671       3276.259309
138026                                                                         (port_Port_Standard, URL_of_Anchor_greater_than_%67_Anchor, URL_Length_long_URL)  (Result_Phishing)            0.189959            0.443057  0.188331    0.991429  2.237698               1.0  0.104168   64.976632       0.682820  0.423515   0.984610    0.708250  0.649175        0.425071        0.991429       3159.302257
137313                                                    (Submitting_to_email_not_using_mail_func, URL_of_Anchor_greater_than_%67_Anchor, URL_Length_long_URL)  (Result_Phishing)            0.181095            0.443057  0.179466    0.991009  2.236751               1.0  0.099231   61.944389       0.675197  0.403580   0.983856    0.698036  0.633578        0.405063        0.991009       2974.706893
132962                                                                   (URL_Length_long_URL, URL_of_Anchor_greater_than_%67_Anchor, Favicon_Favicon_Internal)  (Result_Phishing)            0.178924            0.443057  0.177295    0.990900  2.236504               1.0  0.098022   61.201799       0.673352  0.398698   0.983661    0.695532  0.629700        0.400163        0.990900       2930.108036
134185                                                           (URL_of_Anchor_greater_than_%67_Anchor, popUpWidnow_No_Popup_Text_Fields, URL_Length_long_URL)  (Result_Phishing)            0.176391            0.443057  0.174763    0.990769  2.236209               1.0  0.096611   60.335444       0.671210  0.393002   0.983426    0.692608  0.625145        0.394447        0.990769       2878.373499
138212                                                               (URL_of_Anchor_greater_than_%67_Anchor, having_At_Symbol_no_@_symbol, URL_Length_long_URL)  (Result_Phishing)            0.189778            0.443057  0.187969    0.990467  2.235528               1.0  0.103887   58.423275       0.682132  0.422529   0.982884    0.707361  0.648236        0.424255        0.990467       3144.532936
129151                                                                                                (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.262958            0.443057  0.260425    0.990368  2.235304               1.0  0.143920   57.822572       0.749799  0.584450   0.982706    0.789080  0.762974        0.587791        0.990368       4787.955386
129172                                                                            (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, RightClick_Enabled)  (Result_Phishing)            0.262596            0.443057  0.260063    0.990355  2.235274               1.0  0.143718   57.743009       0.749423  0.583638   0.982682    0.788665  0.762439        0.586974        0.990355       4778.789335
129419                                                                            (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, SFH_Empty_or_Blank)  (Result_Phishing)            0.221438            0.443057  0.219267    0.990196  2.234916               1.0  0.121157   56.808141       0.709714  0.492483   0.982397    0.742546  0.700031        0.494896        0.990196       3814.544513
137440                                                                                             (URL_of_Anchor_greater_than_%67_Anchor, URL_Length_long_URL)  (Result_Phishing)            0.236273            0.443057  0.233921    0.990046  2.234577               1.0  0.129239   55.951306       0.723410  0.525183   0.982127    0.759008  0.722990        0.527971        0.990046       4146.876328
134488                                    (Domain_registeration_length_Domain_ShortTerm, URL_of_Anchor_greater_than_%67_Anchor, Prefix_Suffix_Has_PrefixSuffix)  (Result_Phishing)            0.162913            0.443057  0.161284    0.990006  2.234486               1.0  0.089105   55.725197       0.659991  0.362693   0.982055    0.677016  0.600323        0.364026        0.990006       2608.343470
138096                                 (Statistical_report_Dont Belong to Top Phishing IPs/Domains, URL_of_Anchor_greater_than_%67_Anchor, URL_Length_long_URL)  (Result_Phishing)            0.189417            0.443057  0.187517    0.989971  2.234409               1.0  0.103595   55.535130       0.681551  0.421427   0.981993    0.706603  0.647294        0.423234        0.989971       3131.456903
129812                                                              (URL_of_Anchor_greater_than_%67_Anchor, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar)  (Result_Phishing)            0.247218            0.443057  0.244686    0.989755  2.233920               1.0  0.135154   54.361572       0.733754  0.549127   0.981605    0.771011  0.739330        0.552266        0.989755       4397.382625
129854                                          (URL_of_Anchor_greater_than_%67_Anchor, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar, RightClick_Enabled)  (Result_Phishing)            0.246404            0.443057  0.243872    0.989721  2.233844               1.0  0.134700   54.182555       0.732941  0.547300   0.981544    0.770075  0.738086        0.550429        0.989721       4377.624668
129876                                            (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar)  (Result_Phishing)            0.243510            0.443057  0.240977    0.989599  2.233568               1.0  0.133088   53.546049       0.730063  0.540804   0.981324    0.766747  0.733647        0.543895        0.989599       4307.718834
129978                                          (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar)  (Result_Phishing)            0.208232            0.443057  0.206061    0.989574  2.233512               1.0  0.113802   53.420074       0.697520  0.462820   0.981280    0.727331  0.678409        0.465088        0.989574       3519.198785
130673                                                                                              (port_Port_Standard, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.241791            0.443057  0.239258    0.989525  2.233401               1.0  0.132131   53.168124       0.728364  0.536947   0.981192    0.764771  0.730999        0.540016        0.989525       4266.464997
130735                                                                          (port_Port_Standard, URL_of_Anchor_greater_than_%67_Anchor, RightClick_Enabled)  (Result_Phishing)            0.241520            0.443057  0.238987    0.989513  2.233374               1.0  0.131980   53.108451       0.728097  0.536338   0.981171    0.764458  0.730580        0.539404        0.989513       4259.968338
130261                                                                        (Page_Rank_PageRank_Low, Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.213840            0.443057  0.211578    0.989425  2.233175               1.0  0.116835   52.664488       0.702410  0.475117   0.981012    0.733483  0.687380        0.477542        0.989425       3637.771103
130743                                                                            (Iframe_No_IFrame, port_Port_Standard, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.239349            0.443057  0.236816    0.989418  2.233160               1.0  0.130771   52.631072       0.725962  0.531466   0.981000    0.761961  0.727219        0.534504        0.989418       4208.162089
137503                                                                         (URL_of_Anchor_greater_than_%67_Anchor, URL_Length_long_URL, RightClick_Enabled)  (Result_Phishing)            0.222162            0.443057  0.219810    0.989414  2.233150               1.0  0.121380   52.609651       0.709919  0.493501   0.980992    0.742767  0.700620        0.496121        0.989414       3819.623317
131337                                                                  (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, having_At_Symbol_no_@_symbol)  (Result_Phishing)            0.220262            0.443057  0.217910    0.989322  2.232944               1.0  0.120322   52.159813       0.708136  0.489236   0.980828    0.740578  0.697554        0.491833        0.989322       3776.475438
130951                                                                          (SFH_Empty_or_Blank, port_Port_Standard, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.203256            0.443057  0.201085    0.989319  2.232936               1.0  0.111031   52.143747       0.693020  0.451646   0.980822    0.721589  0.670083        0.453859        0.989319       3410.479945
137517                                                                         (SFH_Empty_or_Blank, URL_of_Anchor_greater_than_%67_Anchor, URL_Length_long_URL)  (Result_Phishing)            0.218905            0.443057  0.216554    0.989256  2.232794               1.0  0.119566   51.838500       0.706868  0.486190   0.980709    0.739014  0.695356        0.488771        0.989256       3745.784145
129234                                                                 (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, Redirect_Redirect_between_2-4)  (Result_Phishing)            0.235369            0.443057  0.232836    0.989239  2.232756               1.0  0.128554   51.755876       0.722077  0.522533   0.980679    0.757380  0.721017        0.525521        0.989239       4113.948691
129320                                                              (Shortining_Service_No_Shortining, Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.233469            0.443057  0.230936    0.989151  2.232558               1.0  0.127496   51.338170       0.720236  0.518270   0.980521    0.755192  0.718038        0.521233        0.989151       4069.328432
134606                                            (Iframe_No_IFrame, double_slash_redirecting_last_position_less_than_7, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.233107            0.443057  0.230574    0.989135  2.232520               1.0  0.127295   51.258606       0.719886  0.517458   0.980491    0.754776  0.717469        0.520416        0.989135       4060.854422
138437                                                                      (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, DNSRecord_Has_DNS_Record)  (Result_Phishing)            0.165536            0.443057  0.163727    0.989071  2.232377               1.0  0.090385   50.960244       0.661559  0.368036   0.980377    0.679305  0.604566        0.369539        0.989071       2649.597701
129099                                                                                                                  (URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.296879            0.443057  0.293623    0.989031  2.232286               1.0  0.162088   50.774597       0.785112  0.657884   0.980305    0.825875  0.809599        0.662719        0.989031       5638.733420
136458                                                                         (Submitting_to_email_not_using_mail_func, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.230213            0.443057  0.227680    0.988998  2.232212               1.0  0.125682   50.622101       0.717099  0.510962   0.980246    0.751441  0.712902        0.513883        0.988998       3993.349399
135340                                                                       (having_IP_Address_no_IP, Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.155857            0.443057  0.154138    0.988973  2.232155               1.0  0.085085   50.505896       0.653921  0.346553   0.980200    0.668435  0.586567        0.347897        0.988973       2465.184093
136532                                                     (Submitting_to_email_not_using_mail_func, URL_of_Anchor_greater_than_%67_Anchor, RightClick_Enabled)  (Result_Phishing)            0.229127            0.443057  0.226594    0.988946  2.232094               1.0  0.125078   50.383411       0.716059  0.508526   0.980152    0.750190  0.711182        0.511433        0.988946       3968.165848
135558                                                                  (Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor, Abnormal_URL_hostname_in_URL)  (Result_Phishing)            0.228946            0.443057  0.226413    0.988937  2.232074               1.0  0.124977   50.343629       0.715886  0.508120   0.980137    0.749981  0.710895        0.511025        0.988937       3963.975490
136540                                                     (Submitting_to_email_not_using_mail_func, port_Port_Standard, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.228584            0.443057  0.226052    0.988920  2.232035               1.0  0.124776   50.264066       0.715539  0.507308   0.980105    0.749564  0.710320        0.510208        0.988920       3955.600677
130774                                          (port_Port_Standard, on_mouseover_onMouseOver_doesnt_Changes_Status_Bar, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.228313            0.443057  0.225780    0.988906  2.232005               1.0  0.124624   50.204394       0.715280  0.506699   0.980081    0.749251  0.709889        0.509596        0.988906       3949.324726
131948                                                                                        (URL_of_Anchor_greater_than_%67_Anchor, Favicon_Favicon_Internal)  (Result_Phishing)            0.227951            0.443057  0.225418    0.988889  2.231965               1.0  0.124423   50.124830       0.714935  0.505887   0.980050    0.748834  0.709314        0.508779        0.988889       3940.963662
135762                                    (Statistical_report_Dont Belong to Top Phishing IPs/Domains, Iframe_No_IFrame, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.219539            0.443057  0.217096    0.988875  2.231934               1.0  0.119828   50.062948       0.707220  0.487310   0.980025    0.739436  0.696093        0.489996        0.988875       3754.422976
132043                                                                    (URL_of_Anchor_greater_than_%67_Anchor, Favicon_Favicon_Internal, RightClick_Enabled)  (Result_Phishing)            0.226956            0.443057  0.224423    0.988840  2.231855               1.0  0.123869   49.906032       0.713986  0.503654   0.979962    0.747687  0.707729        0.506533        0.988840       3918.011136
136571                                                       (Iframe_No_IFrame, Submitting_to_email_not_using_mail_func, URL_of_Anchor_greater_than_%67_Anchor)  (Result_Phishing)            0.226594            0.443057  0.224062    0.988822  2.231815               1.0  0.123667   49.826468       0.713641  0.502842   0.979930    0.747269  0.707152        0.505717        0.988822       3909.679421
